OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,TRUE,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,198509,263982,174803,140960,101921
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,TRUE,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,165725,229025,141690,113715,83279
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,TRUE,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,198353,246472,168000,133619,95398
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,TRUE,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,160954,261116,174334,134043,104437
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,TRUE,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,231073,281379,189857,156932,107988
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,TRUE,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,191793,239454,161559,132196,83996
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,TRUE,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,227641,322287,205900,166122,111440
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,TRUE,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,184278,244353,156610,127291,95905
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,193314,256536,170808,137341,98985
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,158301,218570,135627,108542,79414
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,187943,233362,159655,126426,90007
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,158246,256473,171651,131653,102900
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,221704,269784,182598,150370,103211
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,196010,244359,165721,134828,85376
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,222851,315567,201965,162305,108583
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,180873,239667,154056,124901,93639
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,191054,252870,169377,135916,97789
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,159356,219536,136903,109468,79995
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,181865,225341,154953,122549,87169
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,156644,253075,170284,130251,102089
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,219051,266066,180887,148865,102107
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,196675,244521,166875,135540,85784
